rel,lmtime,lsize,rmtime,rsize
.copilot.prompt.md,1776092883.13148,1530,1776092883.13148,1530
.gitignore,1776092092.353021,20,1776092092.353021,20
.syncript,1776092949.9215486,602,1776092949.9215486,602
1_build_squid.sh,1776081766.51709,1020,1776081766.51709,1020
2_setup_squid.sh,1776091914.2238574,1699,1776091914.2238574,1699
3_start_squid.sh,1776092663.8016212,1082,1776092663.8016212,1082
LICENSE,1776091692.8071282,1091,1776091692.8071282,1091
docker-compose.yml,1776081856.4817455,579,1776081856.4817455,579
install_ca.bat,1776081915.0237362,1072,1776081915.0237362,1072
r6s-deployment.sh,1776092003.4251037,459,1776092003.4251037,459
squid-ca.crt,1776075364.0,1208,1776075364.0,1208
squid-ca.key,1776075364.0,1708,1776075364.0,1708
squid.conf,1776086576.0,4807,1776086576.0,4807
windows-10-installation.bat,1776081982.06366,264,1776081982.06366,264
